               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.05149,            0.047285,            0.045155,             0.77022,             0.37422,              0.4124,             0.24316,            0.037189,            0.040057,            0.038519,           0.0071566,           0.0071566,           0.0071566
                  77,            0.050216,            0.047766,            0.045276,             0.65589,             0.41118,             0.42077,             0.22809,            0.037542,            0.040498,            0.037826,           0.0071566,           0.0071566,           0.0071566
                  78,            0.049539,            0.046173,            0.043882,             0.66249,             0.42257,             0.41526,             0.24279,            0.037109,            0.039889,            0.037056,           0.0070906,           0.0070906,           0.0070906
                  79,            0.044999,            0.043645,            0.045069,             0.74866,             0.36398,             0.42013,             0.21748,            0.038035,            0.040523,            0.037221,           0.0070243,           0.0070243,           0.0070243
                  80,            0.047206,            0.046277,            0.042011,             0.76027,             0.37442,             0.41352,             0.22166,            0.038085,            0.039419,             0.03696,           0.0069576,           0.0069576,           0.0069576
                  81,            0.048807,            0.046535,             0.04205,              0.7812,             0.34683,             0.43646,             0.26976,            0.035406,            0.039054,            0.036471,           0.0068906,           0.0068906,           0.0068906
                  82,            0.046297,            0.044626,            0.040682,             0.62665,             0.48844,             0.43968,             0.26089,            0.034651,            0.039102,            0.036002,           0.0068232,           0.0068232,           0.0068232
                  83,            0.045092,            0.046118,            0.041776,             0.51901,             0.52016,             0.44624,             0.23469,            0.039919,            0.040739,            0.035309,           0.0067555,           0.0067555,           0.0067555
                  84,             0.04629,            0.044777,            0.041861,             0.73395,             0.43235,             0.44655,             0.27133,            0.033946,            0.038419,            0.035152,           0.0066874,           0.0066874,           0.0066874
                  85,            0.045357,            0.044664,            0.040325,             0.73877,             0.44162,             0.45155,             0.28223,            0.032424,            0.038284,            0.034987,           0.0066191,           0.0066191,           0.0066191
                  86,            0.045783,             0.04523,            0.039732,              0.7868,              0.4186,             0.45845,             0.24438,            0.042193,            0.039918,            0.034683,           0.0065505,           0.0065505,           0.0065505
                  87,             0.04762,            0.045412,            0.040065,             0.93062,             0.29374,             0.44858,             0.26164,            0.034535,            0.038785,            0.034635,           0.0064816,           0.0064816,           0.0064816
                  88,            0.043726,            0.044663,            0.038762,             0.66036,             0.48826,              0.4447,             0.26474,            0.033757,            0.037661,            0.034252,           0.0064125,           0.0064125,           0.0064125
                  89,            0.043942,            0.044162,            0.038175,             0.68649,             0.46088,             0.44462,             0.28692,            0.032507,            0.038251,            0.033845,           0.0063432,           0.0063432,           0.0063432
                  90,            0.045629,            0.048457,            0.037968,             0.75154,             0.43992,             0.44294,             0.27512,            0.032878,             0.03831,            0.033253,           0.0062737,           0.0062737,           0.0062737
                  91,            0.040721,             0.04091,             0.03796,             0.69254,             0.45983,             0.45379,             0.29144,             0.03214,            0.037588,            0.032919,            0.006204,            0.006204,            0.006204
                  92,            0.042901,             0.04452,            0.036908,             0.69073,             0.47864,             0.45893,             0.26624,            0.037018,            0.039725,            0.032654,           0.0061341,           0.0061341,           0.0061341
                  93,            0.045114,            0.045377,            0.038579,             0.87195,             0.36764,             0.45961,               0.306,            0.028617,            0.037502,            0.032527,            0.006064,            0.006064,            0.006064
                  94,            0.041868,            0.046902,            0.037435,             0.91896,             0.32911,             0.45427,             0.29463,            0.033677,            0.037549,            0.032014,           0.0059938,           0.0059938,           0.0059938
                  95,            0.045369,            0.044659,            0.034465,             0.96203,             0.32363,             0.45813,             0.26899,            0.039987,            0.039271,            0.031509,           0.0059235,           0.0059235,           0.0059235
                  96,            0.045733,            0.043855,            0.035643,             0.91096,             0.33142,             0.45869,             0.30209,            0.032479,            0.036904,             0.03175,           0.0058531,           0.0058531,           0.0058531
                  97,            0.040481,            0.042319,            0.034465,             0.84512,             0.37356,             0.45622,             0.31365,            0.029551,            0.036495,            0.031312,           0.0057826,           0.0057826,           0.0057826
                  98,            0.047164,            0.047472,            0.035676,             0.86214,             0.37612,              0.4571,             0.27444,            0.031606,            0.037953,            0.031025,            0.005712,            0.005712,            0.005712
                  99,             0.04155,            0.043009,            0.036346,             0.87062,             0.35071,             0.45301,              0.2967,             0.03127,            0.037974,            0.030476,           0.0056413,           0.0056413,           0.0056413
                 100,            0.042631,            0.042396,            0.036411,             0.87482,              0.3391,             0.45301,             0.28479,            0.030276,            0.037392,            0.030379,           0.0055707,           0.0055707,           0.0055707
                 101,            0.043535,            0.044844,             0.03437,             0.90248,             0.33109,             0.43939,             0.28771,            0.031825,            0.037077,            0.030418,              0.0055,              0.0055,              0.0055
                 102,            0.043207,            0.044437,            0.035053,             0.92148,              0.3353,             0.44261,             0.30183,            0.028075,            0.036747,            0.029968,           0.0054293,           0.0054293,           0.0054293
                 103,            0.040081,            0.041791,            0.034439,             0.91748,             0.34867,             0.45546,             0.28078,            0.032821,            0.038696,             0.02971,           0.0053587,           0.0053587,           0.0053587
                 104,             0.04398,            0.044566,            0.033969,             0.90835,             0.36145,              0.4528,              0.3006,            0.029717,            0.036905,            0.029773,            0.005288,            0.005288,            0.005288
                 105,            0.042409,            0.043112,            0.034718,             0.92669,             0.35054,             0.45783,             0.30838,            0.027731,            0.036378,              0.0296,           0.0052174,           0.0052174,           0.0052174
                 106,            0.042766,            0.043792,            0.033167,             0.73609,             0.48091,             0.47183,             0.28473,            0.032697,            0.037125,            0.029384,           0.0051469,           0.0051469,           0.0051469
                 107,            0.038489,            0.042959,            0.032507,             0.70646,             0.49421,             0.47281,             0.32455,            0.026713,             0.03524,            0.029137,           0.0050765,           0.0050765,           0.0050765
                 108,            0.035767,            0.039843,             0.03305,             0.74244,              0.4687,             0.47531,             0.32613,            0.026731,            0.034411,            0.028608,           0.0050062,           0.0050062,           0.0050062
                 109,            0.038243,            0.040356,            0.032405,             0.78735,             0.45516,             0.47291,             0.32699,            0.027052,             0.03501,            0.028561,            0.004936,            0.004936,            0.004936
                 110,            0.039187,            0.043172,            0.032893,             0.74863,             0.49814,              0.4863,             0.32244,            0.028072,            0.035686,            0.028393,           0.0048659,           0.0048659,           0.0048659
                 111,            0.035133,            0.040721,            0.032135,             0.83653,             0.41494,              0.4811,             0.33086,            0.025818,             0.03519,            0.028144,            0.004796,            0.004796,            0.004796
                 112,            0.037059,            0.041375,            0.032918,             0.83302,             0.40418,             0.48541,              0.3344,            0.026398,             0.03525,              0.0276,           0.0047263,           0.0047263,           0.0047263
                 113,             0.03928,             0.04183,            0.032473,             0.84212,             0.39375,             0.48599,             0.33519,             0.02531,            0.035067,            0.027327,           0.0046568,           0.0046568,           0.0046568
                 114,            0.038426,            0.042602,            0.031642,               0.738,             0.47828,             0.48524,             0.32952,            0.025831,            0.035452,            0.026948,           0.0045875,           0.0045875,           0.0045875
                 115,            0.037045,            0.041216,            0.032078,              0.6731,             0.54651,             0.50495,             0.35728,             0.02757,            0.034814,            0.026712,           0.0045184,           0.0045184,           0.0045184
                 116,            0.037359,            0.040855,            0.031087,             0.67737,             0.54126,             0.50919,             0.33783,            0.028898,            0.035719,            0.026698,           0.0044495,           0.0044495,           0.0044495
                 117,            0.041091,            0.043776,            0.030932,             0.71099,             0.52995,             0.51446,             0.36548,            0.025694,            0.034979,            0.026458,           0.0043809,           0.0043809,           0.0043809
                 118,            0.038034,             0.04448,            0.030793,              0.7305,             0.53359,             0.51636,             0.35789,            0.028417,            0.035515,            0.026101,           0.0043126,           0.0043126,           0.0043126
                 119,            0.036279,            0.040009,             0.02971,             0.74186,             0.50558,             0.52109,             0.35101,            0.027012,            0.035661,            0.025863,           0.0042445,           0.0042445,           0.0042445
                 120,            0.038115,            0.042631,            0.030677,             0.72351,             0.54625,             0.53903,             0.36556,            0.026717,             0.03532,            0.025604,           0.0041768,           0.0041768,           0.0041768
                 121,            0.039967,            0.042278,            0.029048,             0.67475,             0.57911,             0.54807,             0.38046,            0.026322,            0.035507,            0.025442,           0.0041094,           0.0041094,           0.0041094
                 122,            0.039945,            0.041294,            0.029879,              0.7063,             0.57149,             0.55487,              0.3621,            0.027854,             0.03622,            0.025397,           0.0040424,           0.0040424,           0.0040424
                 123,            0.035929,            0.041644,            0.028714,             0.67584,             0.57522,             0.54973,             0.38366,            0.026008,            0.035266,            0.025271,           0.0039757,           0.0039757,           0.0039757
                 124,            0.034942,            0.039061,            0.028843,             0.66618,             0.57414,             0.54918,             0.37408,             0.02501,            0.034803,            0.025025,           0.0039094,           0.0039094,           0.0039094
                 125,            0.036073,            0.040812,            0.028549,             0.69709,             0.58155,             0.55499,             0.38477,            0.024873,            0.034163,             0.02468,           0.0038434,           0.0038434,           0.0038434
                 126,            0.034237,            0.040927,            0.029125,             0.75785,             0.55691,             0.55787,             0.35916,            0.025848,            0.035199,            0.024438,           0.0037779,           0.0037779,           0.0037779
                 127,            0.035145,            0.040647,            0.028807,             0.77762,             0.54497,             0.56258,             0.39766,            0.025665,            0.034515,            0.024227,           0.0037128,           0.0037128,           0.0037128
                 128,             0.03514,            0.040747,             0.02789,             0.77933,             0.52859,             0.55913,             0.39207,            0.027351,            0.035001,            0.024056,           0.0036482,           0.0036482,           0.0036482
                 129,            0.036534,            0.041135,            0.027171,             0.76739,             0.55423,             0.56583,             0.40123,             0.02492,            0.034383,            0.023858,            0.003584,            0.003584,            0.003584
